t,x,y,z,vx,vy,vz,phi1,phi2,phi3,omega1,omega2,omega3,alpha1,alpha2,alpha3,tau1,tau2,tau3,valid
4.661654135338345606e-01,3.000055727578984643e-02,1.569873054134599205e-03,-7.010400864235064589e-01,-2.500996105185244534e-04,9.692553392783530980e-03,-6.418557782820483865e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.812030075187969658e-01,2.999630894202432591e-02,1.719964677356350955e-03,-7.011394796560432852e-01,-3.164422084464513468e-04,1.027181609091848413e-02,-6.802217516884846715e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.962406015037593709e-01,2.999099276051409024e-02,1.878864540399801135e-03,-7.012447082685425714e-01,-3.922533778999836174e-04,1.086398324722542656e-02,-7.194630273798570223e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.112781954887217761e-01,2.998446040470290064e-02,2.046763676466223803e-03,-7.013559023976659867e-01,-4.783284788524307216e-04,1.146865067321587925e-02,-7.595598381112528101e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.263157894736841813e-01,2.997655136065603687e-02,2.223846914649117105e-03,-7.014731892164566274e-01,-5.754929566250425663e-04,1.208539708669095596e-02,-8.004925350044964777e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.413533834586465865e-01,2.996709248015857682e-02,2.410292607998017460e-03,-7.015966929521387785e-01,-6.846015907125877452e-04,1.271378211473158347e-02,-8.422415875481474579e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.563909774436089917e-01,2.995589754595205656e-02,2.606272330794535616e-03,-7.017265349039176758e-01,-8.065376307256598171e-04,1.335334419633087306e-02,-8.847875835975021683e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.714285714285713969e-01,2.994276685084557715e-02,2.811950543550924449e-03,-7.018628334607787123e-01,-9.422118142451563075e-04,1.400359838735953585e-02,-9.281112293745917563e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.864661654135338020e-01,2.992748679251911251e-02,3.027484224286826949e-03,-7.020057041192869773e-01,-1.092561260916316470e-03,1.466403407121292038e-02,-9.721933494681847879e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.015037593984962072e-01,2.990982948592562154e-02,3.253022464695342914e-03,-7.021552595013870190e-01,-1.258548236658050320e-03,1.533411257917584834e-02,-1.017014886833784645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.165413533834586124e-01,2.988955239529386687e-02,3.488706029875632622e-03,-7.023116093722018283e-01,-1.441158781432715736e-03,1.601326472526149250e-02,-1.062556902793631609e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.315789473684210176e-01,2.986639798783551764e-02,3.734666880386414145e-03,-7.024748606578331556e-01,-1.641401193616761310e-03,1.670088826103314009e-02,-1.108800577036701644e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.466165413533834228e-01,2.984009341136754229e-02,3.991027655463401727e-03,-7.026451174631599406e-01,-1.860304363638858299e-03,1.739634525670393991e-02,-1.155727207618706225e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.616541353383458279e-01,2.981035019817391413e-02,4.257901116344550013e-03,-7.028224810896390728e-01,-2.098915949214597357e-03,1.809895941563078453e-02,-1.203318210962093376e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.766917293233082331e-01,2.977686399754815583e-02,4.535389548760339166e-03,-7.030070500531037103e-01,-2.358300384210922432e-03,1.880801333017415380e-02,-1.251555121856046983e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.917293233082706383e-01,2.973931433957993642e-02,4.823584123772910008e-03,-7.031989201015637070e-01,-2.639536712925055414e-03,1.952274568778696387e-02,-1.300419593456487305e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.067669172932330435e-01,2.969736443287428890e-02,5.122564216288014866e-03,-7.033981842330045975e-01,-2.943716241367436322e-03,2.024234843712201248e-02,-1.349893397286069420e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.218045112781954487e-01,2.965066099901919605e-02,5.432396680718184871e-03,-7.036049327131872477e-01,-3.271939997002453436e-03,2.096596392490923666e-02,-1.399958423234185824e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.368421052631578538e-01,2.959883414674671989e-02,5.753135083444600555e-03,-7.038192530934473945e-01,-3.625315988330378957e-03,2.169268201534960486e-02,-1.450596679556964697e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.518796992481202590e-01,2.954149728886240611e-02,6.084818891909523318e-03,-7.040412302284951851e-01,-4.004956255695760192e-03,2.242153720480193069e-02,-1.501790292877269208e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.669172932330826642e-01,2.947824710514671334e-02,6.427472620371185892e-03,-7.042709462942146059e-01,-4.411973704787549092e-03,2.315150574559953628e-02,-1.553521508184699945e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.819548872180450694e-01,2.940866355455944159e-02,6.781104932569287022e-03,-7.045084808054629111e-01,-4.847478714461504398e-03,2.388150279392361325e-02,-1.605772688835592141e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.969924812030074746e-01,2.933230994020220861e-02,7.145707701782053750e-03,-7.047539106338703840e-01,-5.312575510772177961e-03,2.461037959777753054e-02,-1.658526316553017924e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.120300751879698797e-01,2.924873303061350030e-02,7.521255029005666920e-03,-7.050073100256397662e-01,-5.808358299457061155e-03,2.533692074224643681e-02,-1.711764991426785107e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.270676691729322849e-01,2.915746324108395640e-02,7.907702220253940914e-03,-7.052687506193455746e-01,-6.335907149575627922e-03,2.605984147038623369e-02,-1.765471431913438055e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
