t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,tx,ty,tz,nx,ny,nz,bx,by,bz,kappa,ftx,fty,ftz,fnx,fny,fnz,fx,fy,fz
2.329852501392160880e-01,3.147007135532197686e-01,3.988268011217888098e-01,0.000000000000000000e+00,4.978782664505255973e+00,2.083119955931779788e-01,0.000000000000000000e+00,6.498158889817623241e+00,-2.489913237587837713e+01,9.810000000000000497e+00,-5.098871859143073380e+02,1.556765159808317549e+03,0.000000000000000000e+00,9.991258570044815324e-01,4.180337145566680873e-02,0.000000000000000000e+00,4.180337145566680873e-02,-9.991258570044815324e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000222e+00,1.012779696517949413e+00,5.446845402633779365e+00,2.278957150709288448e-01,0.000000000000000000e+00,1.051313487183844098e+00,-2.512702809094930601e+01,0.000000000000000000e+00,6.498158889817623241e+00,-2.489913237587837713e+01,9.810000000000000497e+00
2.332216034349515188e-01,3.158776448173953866e-01,3.988753409958398777e-01,0.000000000000000000e+00,4.980304337356178834e+00,2.024704656218116461e-01,0.000000000000000000e+00,6.378327080850215935e+00,-2.453160110767606739e+01,9.810000000000000497e+00,-5.041734833672380773e+02,1.553262381847642246e+03,-3.637978807091712952e-12,9.991746395216278831e-01,4.062068114673562241e-02,0.000000000000000000e+00,4.062068114673562241e-02,-9.991746395216278831e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999997780e-01,9.970222737635090482e-01,5.372134704847705500e+00,2.184000296759011084e-01,0.000000000000000000e+00,1.006192376002510214e+00,-2.475000113735196905e+01,0.000000000000000000e+00,6.378327080850215935e+00,-2.453160110767606739e+01,9.810000000000000497e+00
2.334580210292458158e-01,3.170552549160385869e-01,3.989225232009557254e-01,0.000000000000000000e+00,4.981798249082642904e+00,1.967141404975416841e-01,0.000000000000000000e+00,6.259800707262439978e+00,-2.416479536167593878e+01,9.810000000000000497e+00,-4.985669162130343466e+02,1.549778434834101063e+03,-3.637978807091712952e-12,9.992213157432530135e-01,3.945582548017712715e-02,0.000000000000000000e+00,3.945582548017712715e-02,-9.992213157432530135e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999998890e-01,9.813313820606399673e-01,5.297356168045758373e+00,2.091744413171207906e-01,0.000000000000000000e+00,9.624445392166816049e-01,-2.437396980299305937e+01,0.000000000000000000e+00,6.259800707262439978e+00,-2.416479536167593878e+01,9.810000000000000497e+00
2.336945029036947286e-01,3.182335342202917139e-01,3.989683669948520528e-01,0.000000000000000000e+00,4.983264689428200001e+00,1.910429125494475799e-01,0.000000000000000000e+00,6.142555408019610752e+00,-2.379871193262139073e+01,9.810000000000000497e+00,-4.930662213143968984e+02,1.546313116419798462e+03,0.000000000000000000e+00,9.992659501426390811e-01,3.830875729554028553e-02,0.000000000000000000e+00,3.830875729554028553e-02,-9.992659501426390811e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999997780e-01,9.657061542240727992e-01,5.222510987171506969e+00,2.002148735802388724e-01,0.000000000000000000e+00,9.200444208481033392e-01,-2.399892680620163077e+01,0.000000000000000000e+00,6.142555408019610752e+00,-2.379871193262139073e+01,9.810000000000000497e+00
2.339310483739375779e-01,3.194124731012971119e-01,3.990128916352437272e-01,0.000000000000000000e+00,4.984703939298695374e+00,1.854566741854129230e-01,0.000000000000000000e+00,6.026567248298694501e+00,-2.343334719384356646e+01,9.810000000000000497e+00,-4.876707326182531688e+02,1.542871239624102600e+03,0.000000000000000000e+00,9.993086059843027114e-01,3.717942987337861938e-02,0.000000000000000000e+00,3.717942987337861938e-02,-9.993086059843027114e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999997780e-01,9.501457172743168478e-01,5.147600544476576445e+00,1.915172673520823821e-01,0.000000000000000000e+00,8.789667038221181672e-01,-2.362486446119564931e+01,0.000000000000000000e+00,6.026567248298694501e+00,-2.343334719384356646e+01,9.810000000000000497e+00
2.341676564512961134e-01,3.205920619301969032e-01,3.990561163798465594e-01,0.000000000000000000e+00,4.986116272888064138e+00,1.799553180546067943e-01,0.000000000000000000e+00,5.911812605334683113e+00,-2.306869714679801930e+01,9.810000000000000497e+00,-4.823794406530978449e+02,1.539454584045641241e+03,0.000000000000000000e+00,9.993493453359277856e-01,3.606779694758779214e-02,0.000000000000000000e+00,3.606779694758779214e-02,-9.993493453359277856e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999998890e-01,9.346491931623670535e-01,5.072626295493432025e+00,1.830775754952345957e-01,0.000000000000000000e+00,8.391863098412515320e-01,-2.325177472229325559e+01,0.000000000000000000e+00,5.911812605334683113e+00,-2.306869714679801930e+01,9.810000000000000497e+00
2.344043263511557396e-01,3.217722910781334322e-01,3.990980604863757497e-01,0.000000000000000000e+00,4.987501960375119836e+00,1.745387372122680081e-01,0.000000000000000000e+00,5.798268006292671473e+00,-2.270475745273278534e+01,9.810000000000000497e+00,-4.771910770133126789e+02,1.536062309112472576e+03,0.000000000000000000e+00,9.993882290801845425e-01,3.497381271712639988e-02,0.000000000000000000e+00,3.497381271712639988e-02,-9.993882290801845425e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,9.192156986085866510e-01,4.997589608048956578e+00,1.748917566798134926e-01,0.000000000000000000e+00,8.006783982437152281e-01,-2.287964920941259805e+01,0.000000000000000000e+00,5.798268006292671473e+00,-2.270475745273278534e+01,9.810000000000000497e+00
2.346410577510831819e-01,3.229531509162492098e-01,3.991387432125466650e-01,0.000000000000000000e+00,4.988861269159120759e+00,1.692068252217107382e-01,0.000000000000000000e+00,5.685910045169653593e+00,-2.234152346101219422e+01,9.810000000000000497e+00,-4.721046006189280888e+02,1.532695588071779639e+03,-3.637978807091712952e-12,9.994253169263782599e-01,3.389743185859690061e-02,0.000000000000000000e+00,3.389743185859690061e-02,-9.994253169263782599e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999997780e-01,9.038443455865589060e-01,4.922491680482806053e+00,1.669557729704456150e-01,0.000000000000000000e+00,7.634183646868475392e-01,-2.250847923398264072e+01,0.000000000000000000e+00,5.685910045169653593e+00,-2.234152346101219422e+01,9.810000000000000497e+00
2.348778499223885263e-01,3.241346318156863027e-01,3.991781838160751161e-01,0.000000000000000000e+00,4.990194459517988790e+00,1.639594760551711106e-01,0.000000000000000000e+00,5.574715655838826223e+00,-2.197899016801772021e+01,9.810000000000000497e+00,-4.671192760416870442e+02,1.529358572290650045e+03,-3.637978807091712952e-12,9.994606674220334330e-01,3.283860953669064109e-02,0.000000000000000000e+00,3.283860953669064109e-02,-9.994606674220334330e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999996669e-01,8.885342415417289974e-01,4.847333818138505279e+00,1.592655996742999014e-01,0.000000000000000000e+00,7.273818377003207214e-01,-2.213825576769201930e+01,0.000000000000000000e+00,5.574715655838826223e+00,-2.197899016801772021e+01,9.810000000000000497e+00
2.351147017049378951e-01,3.253167241475870552e-01,3.992164015546758038e-01,0.000000000000000000e+00,4.991501784681470433e+00,1.587965841705738512e-01,0.000000000000000000e+00,5.464662118520250189e+00,-2.161715221794585773e+01,9.810000000000000497e+00,-4.622340299638963188e+02,1.526051831930766639e+03,0.000000000000000000e+00,9.994943379642793335e-01,3.179730141610778715e-02,0.000000000000000000e+00,3.179730141610778715e-02,-9.994943379642793335e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999997780e-01,8.732844891747596483e-01,4.772117442076938332e+00,1.518172249057890277e-01,0.000000000000000000e+00,6.925446764433115243e-01,-2.176896944285164537e+01,0.000000000000000000e+00,5.464662118520250189e+00,-2.161715221794585773e+01,9.810000000000000497e+00
