t,sx,sy,sz,vx,vy,vz,ax,ay,az,jx,jy,jz,Fx,Fy,Fz
3.774436090225563589e+00,-3.630818065625820296e-02,8.608501837848907615e-03,-8.828686558338915136e-01,-3.209904455977101445e-02,-1.235839733042139871e-01,-6.805958615942886425e-02,4.324752026677973205e-01,-7.330070944448623116e-02,2.509820907715121230e-02,-1.457435021658609609e-02,1.613627168798304146e+00,2.777978432575717652e-02,4.324752026677973482e-02,-7.330070944448623636e-03,-9.784901790922849729e-01
3.789473684210526105e+00,-3.674199715191064919e-02,6.742719759395686407e-03,-8.838892548318948439e-01,-2.560088589894336450e-02,-1.245046722299983644e-01,-6.767903868140974499e-02,4.315436711471787867e-01,-4.921414562990433783e-02,2.551392331243623052e-02,-1.088235478738739381e-01,1.588934826304089443e+00,2.750759173065162044e-02,4.315436711471788006e-02,-4.921414562990434477e-03,-9.784486076687565204e-01
3.804511278195488622e+00,-3.707825528241492224e-02,4.865801131121048374e-03,-8.849040844638651482e-01,-1.912727604370257489e-02,-1.250661704902695792e-01,-6.729227083413591437e-02,4.292180967417235093e-01,-2.554089268534865537e-02,2.592550506905050983e-02,-1.999270167745266225e-01,1.558707972199454339e+00,2.723016466256171844e-02,4.292180967417235510e-02,-2.554089268534865623e-03,-9.784074494930949939e-01
3.819548872180450694e+00,-3.731747999101915625e-02,2.983097643355338280e-03,-8.859130516606188444e-01,-1.269881023571192875e-02,-1.252752972982276169e-01,-6.689934535197746002e-02,4.255481872878288940e-01,-2.361821975364553072e-03,2.633287563311477800e-02,-2.875698770137075644e-01,1.523262671513927913e+00,2.694750312149075261e-02,4.255481872878288940e-02,-2.361821975364553289e-04,-9.783667124366886014e-01
3.834586466165413210e+00,-3.746050012930841194e-02,1.099849329343264648e-03,-8.869160643052464987e-01,-6.335301722558632498e-03,-1.251400616050631076e-01,-6.650032615297167549e-02,4.205881669466822181e-01,2.024707344811099013e-02,2.673595629074947827e-02,-3.714664574339590075e-01,1.482931242914749870e+00,2.665960710743626311e-02,4.205881669466822459e-02,2.024707344811099100e-03,-9.783264043709251068e-01
3.849624060150375726e+00,-3.750843620390766769e-02,-7.788326147667425309e-04,-8.879130312509109224e-01,-5.571717049087125326e-05,-1.246695770018349664e-01,-6.609527833882360148e-02,4.143963321466982430e-01,4.221490377550138340e-02,2.713466832807526902e-02,-4.513609000110556657e-01,1.438059667392213914e+00,2.636647662040235082e-02,4.143963321466982708e-02,4.221490377550138340e-03,-9.782865331671926068e-01
3.864661654135338242e+00,-3.746268720246583028e-02,-2.647981856677653935e-03,-8.889038623386484872e-01,6.121881185453925678e-03,-1.238739835316727267e-01,-6.568426819490529034e-02,4.070346001275806369e-01,6.347606846587226792e-02,2.752893303121270799e-02,-5.270275404061466329e-01,1.389005008624454529e+00,2.606811166038081051e-02,4.070346001275806924e-02,6.347606846587226966e-03,-9.782471066968788653e-01
3.879699248120300759e+00,-3.732491660094490460e-02,-4.502791759364761955e-03,-8.898884684151677771e-01,1.218038656772933021e-02,-1.227643669952814959e-01,-6.526736319025609745e-02,3.985680534047404411e-01,8.397040368788599718e-02,2.791867168628221069e-02,-5.982710712268016762e-01,1.336132863816795746e+00,2.576451222737902863e-02,3.985680534047404688e-02,8.397040368788600065e-03,-9.782081328313718682e-01
3.894736842105262831e+00,-3.709703765516413759e-02,-6.338628983815718793e-03,-8.908667613506489058e-01,1.810369182191638379e-02,-1.213526763258556962e-01,-6.484463197758312536e-02,3.890644833628484900e-01,1.036432917683896976e-01,2.830380557940455691e-02,-6.649264960509222444e-01,1.279814862732732150e+00,2.545567832139454187e-02,3.890644833628485039e-02,1.036432917683897080e-02,-9.781696194420596013e-01
3.909774436090225347e+00,-3.678119807974803562e-02,-8.151045838320693238e-03,-8.918386540565432785e-01,2.387672673192326248e-02,-1.196516395986300940e-01,-6.441614439326055763e-02,3.785939360557140088e-01,1.224457334991057855e-01,2.868425599670008930e-02,-7.268588836353842009e-01,1.220426231444738052e+00,2.514160994242570918e-02,3.785939360557140365e-02,1.224457334991057959e-02,-9.781315744003300505e-01
3.924812030075187863e+00,-3.637976421713082914e-02,-9.935791357944475516e-03,-8.928040605033731314e-01,2.948548854013819179e-02,-1.176746792256912061e-01,-6.398197145732997804e-02,3.672282631386733498e-01,1.403343843909720945e-01,2.905994422428954255e-02,-7.839629329505997113e-01,1.158343436048966169e+00,2.482230709047909475e-02,3.672282631386733498e-02,1.403343843909721049e-02,-9.780940055775710906e-01
3.939849624060149935e+00,-3.589530479811269686e-02,-1.168882110595557793e-02,-8.937628957385314044e-01,3.491706577066609057e-02,-1.154358268686102862e-01,-6.354218537350038443e-02,3.550406806914266356e-01,1.572715561846960153e-01,2.943079154829344665e-02,-8.361623607465666908e-01,1.093941920226453091e+00,2.449776976554649335e-02,3.550406806914266356e-02,1.572715561846960153e-02,-9.780569208451707075e-01
3.954887218045112451e+00,-3.533057439368263164e-02,-1.340630569684205832e-02,-8.947150759040800594e-01,4.015965549389950706e-02,-1.129496385802683384e-01,-6.309685952914807772e-02,3.421053385062268193e-01,1.732251851242559981e-01,2.979671925483229344e-02,-8.834091242637209795e-01,1.027593949112279414e+00,2.416799796762790498e-02,3.421053385062268470e-02,1.732251851242560051e-02,-9.780203280745168870e-01
3.969924812030074968e+00,-3.468849665545874900e-02,-1.508463804805982092e-02,-8.956605182545511745e-01,4.520257420794965980e-02,-1.102311106632274662e-01,-6.264606849531668964e-02,3.284969022208092948e-01,1.881687686765343981e-01,3.015764863002661639e-02,-9.256824924511439789e-01,9.596665704694095078e-01,2.383299169672989729e-02,3.284969022208093087e-02,1.881687686765344189e-02,-9.779842351369973930e-01
3.984962406015037484e+00,-3.397214743919888674e-02,-1.672043937478187928e-02,-8.965991411747450401e-01,5.003626254667913748e-02,-1.072955967055144039e-01,-6.218988802671739785e-02,3.142901504699003312e-01,2.020812725343543725e-01,3.051350095999710160e-02,-9.629879796460099062e-01,8.905197026735689469e-01,2.349275095285082229e-02,3.142901504699003451e-02,2.020812725343543864e-02,-9.779486499040004333e-01
4.000000000000000000e+00,-3.318473790243734595e-02,-1.831056394865022627e-02,-8.975308641975308088e-01,5.465228405522019883e-02,-1.041587262260163516e-01,-6.172839506172841245e-02,2.995595890157576879e-01,2.149470098720099864e-01,3.086419753086423745e-02,-9.953561561048457351e-01,8.205043575141247603e-01,2.314727573598412275e-02,2.995595890157577018e-02,2.149470098720100003e-02,-9.779135802469136607e-01
4.015037593984962072e+00,-3.232959766347461711e-02,-1.985210264778495756e-02,-8.984556080216450358e-01,5.904331830164523398e-02,-1.008363253312574426e-01,-6.126166772239564212e-02,2.843790835995878008e-01,2.267554949313188017e-01,3.120965962874850536e-02,-1.022841350061472809e+00,7.499610043204946175e-01,2.279656604613471832e-02,2.843790835995878286e-02,2.267554949313188226e-02,-9.778790340371252832e-01
4.030075187969924144e+00,-3.141015810471241287e-02,-2.134238533112501474e-02,-8.993732945294921066e-01,6.320314861803214002e-02,-9.734433975336889699e-02,-6.078978531443198635e-02,2.688215130336658598e-01,2.375012731031169444e-01,3.154980853977054633e-02,-1.045520256125326064e+00,6.792180804464000854e-01,2.244062188330753216e-02,2.688215130336658876e-02,2.375012731031169583e-02,-9.778450191460230645e-01
4.045112781954887105e+00,-3.042993589875571045e-02,-2.277898207548042717e-02,-9.002838468049428888e-01,6.712664478532423540e-02,-9.369876060601382839e-02,-6.031282832721814730e-02,2.529584438311496264e-01,2.471837297338318196e-01,3.188456555005098753e-02,-1.063490464832663740e+00,6.085906517011363537e-01,2.207944324749435902e-02,2.529584438311496472e-02,2.471837297338318196e-02,-9.778115434449949905e-01
4.060150375939849177e+00,-2.939251683083871428e-02,-2.415970331848553421e-02,-9.011871891511344934e-01,7.080974099421027956e-02,-8.991555316114105412e-02,-5.983087843380197057e-02,2.368598274486291844e-01,2.558068799301317364e-01,3.221385194571022015e-02,-1.076868928029875994e+00,5.383792249183192435e-01,2.171303013870012205e-02,2.368598274486291913e-02,2.558068799301317642e-02,-9.777786148054290472e-01
4.075187969924812137e+00,-2.830153998601793106e-02,-2.548259895494557614e-02,-9.020832471082704807e-01,7.424940942879008909e-02,-8.601058891505948545e-02,-5.934401849089861875e-02,2.205937209974967173e-01,2.633791416575048672e-01,3.253758901286903787e-02,-1.085790374511708567e+00,4.688687135101183290e-01,2.134138255691990158e-02,2.205937209974967450e-02,2.633791416575048672e-02,-9.777462410987132202e-01
4.090225563909774209e+00,-2.716068236428013927e-02,-2.674595643783624424e-02,-9.029719474714195115e-01,7.744362983101127362e-02,-8.199958117777184086e-02,-5.885233253889047417e-02,2.042260320660339856e-01,2.699130944315785152e-01,3.285569803764766539e-02,-1.090405689966484459e+00,4.003275555795002827e-01,2.096450050216025485e-02,2.042260320660339856e-02,2.699130944315785222e-02,-9.777144301962352735e-01
4.105263157894736281e+00,-2.597364398125627180e-02,-2.794829793848557092e-02,-9.038532183083146654e-01,8.039135541198152990e-02,-7.789802438500881276e-02,-5.835590580182788839e-02,1.878202880861765955e-01,2.754252258855497959e-01,3.316810030616709065e-02,-1.090880274806235839e+00,3.330069829611261856e-01,2.058238397442118534e-02,1.878202880861766164e-02,2.754252258855498237e-02,-9.776831899693834149e-01
4.120300751879699241e+00,-2.474413350668903597e-02,-2.908837662320403264e-02,-9.047269889771545337e-01,8.309247548124847060e-02,-7.372113729830066797e-02,-5.785482468742767642e-02,1.714374304788998660e-01,2.799356684639827675e-01,3.347471710454755223e-02,-1.087392392891708637e+00,2.671404384427878975e-01,2.019503297368956812e-02,1.714374304788998660e-02,2.799356684639827883e-02,-9.776525282895452973e-01
4.135338345864661314e+00,-2.347585448721015156e-02,-3.016517210585577952e-02,-9.055931901444007615e-01,8.554777516720238340e-02,-6.948381022496856463e-02,-5.734917678707455307e-02,1.551356336214586018e-01,2.834679284440707603e-01,3.377546971890962868e-02,-1.080131523512643188e+00,2.029431373887142787e-01,1.980244749997852813e-02,1.551356336214586122e-02,2.834679284440707811e-02,-9.776224530281091285e-01
4.150375939849624274e+00,-2.217249219435801083e-02,-3.117788513761603555e-02,-9.064517538025786969e-01,8.775889260106892187e-02,-6.520055635722261933e-02,-5.683905087582071664e-02,1.389701484989506186e-01,2.860486094214905184e-01,3.407027943537396797e-02,-1.069296728262065788e+00,1.406117690469276260e-01,1.940462755328806535e-02,1.389701484989506325e-02,2.860486094214905253e-02,-9.775929720564626724e-01
4.165413533834586346e+00,-2.083770113320055836e-02,-3.212593159639889895e-02,-9.073026132880764871e-01,8.972827393357225845e-02,-6.088546729802946089e-02,-5.632453691238544641e-02,1.229931707336429925e-01,2.877071323205411812e-01,3.435906754006115560e-02,-1.055095043662695131e+00,8.032433198208061009e-02,1.900157313361489769e-02,1.229931707336429959e-02,2.877071323205411882e-02,-9.775640932459940258e-01
4.180451127819548418e+00,-1.947509324141561901e-02,-3.300893583923200647e-02,-9.081457032989449507e-01,9.145912654755448956e-02,-5.655217281108562699e-02,-5.580572603915560231e-02,1.072537325283586251e-01,2.884754538989806050e-01,3.464175531909171463e-02,-1.037739909573456965e+00,2.224009733153353707e-02,1.859328424095574306e-02,1.072537325283586321e-02,2.884754538989806050e-02,-9.775358244680909525e-01
4.195488721804511378e+00,-1.808822680327271115e-02,-3.382672348119885458e-02,-9.089809599126965622e-01,9.295537082176393018e-02,-5.221380480332808022e-02,-5.528271058218492406e-02,9.179761791586291131e-02,2.883877856182295307e-01,3.491826405858614035e-02,-1.017449642536318644e+00,-3.350030706127982150e-02,1.817976087531716564e-02,9.179761791586291131e-03,2.883877856182295515e-02,-9.775081735941414385e-01
4.210526315789473450e+00,-1.668059609769549645e-02,-3.457931366448652177e-02,-9.098083206041058801e-01,9.422159079088081313e-02,-4.788296552110340304e-02,-5.475558405119525934e-02,7.666730057520174113e-02,2.874803146409726784e-01,3.518851504466516400e-02,-9.944459623287988936e-01,-8.677469912606289304e-02,1.776100303669424230e-02,7.666730057520174460e-03,2.874803146409726784e-02,-9.774811484955335805e-01
4.225563909774435523e+00,-1.525562179448368763e-02,-3.526691088059790563e-02,-9.106277242630077540e-01,9.526298403482161281e-02,-4.357169991547821947e-02,-5.422444113957499562e-02,6.190190335845131842e-02,2.857909286020189343e-01,3.545242956344912127e-02,-9.689525790754136558e-01,-1.374790395929122444e-01,1.733701072508369440e-02,6.190190335845132015e-03,2.857909286020189621e-02,-9.774547570436551425e-01
4.240601503759398483e+00,-1.381664210786269671e-02,-3.588989640793812524e-02,-9.114391112120979743e-01,9.608531111670962077e-02,-3.929147210833664611e-02,-5.368937772438053813e-02,4.753717856770102446e-02,2.833589456763127568e-01,3.570992890105865319e-02,-9.411938473525220950e-01,-1.855270318523189466e-01,1.690778394049700581e-02,4.753717856770102966e-03,2.833589456763127568e-02,-9.774290071098942212e-01
4.255639097744360555e+00,-1.236690471184260197e-02,-3.644881942578733630e-02,-9.122424232247321463e-01,9.669484487374170600e-02,-3.505314586894215517e-02,-5.315049086633531067e-02,3.360550793221428467e-02,2.802248513412513020e-01,3.596093434361444241e-02,-9.113934928033200489e-01,-2.308496331881912667e-01,1.647332268292924992e-02,3.360550793221428554e-03,2.802248513412513090e-02,-9.774039065656386915e-01
4.270676691729322627e+00,-1.090955941741236432e-02,-3.694438786416216758e-02,-9.130376035427250070e-01,9.709831984882219547e-02,-3.086696899060595300e-02,-5.260787880983045645e-02,2.013592115961054807e-02,2.764300431007808423e-01,3.620536717723697728e-02,-8.797734158738041987e-01,-2.733944860897855600e-01,1.603362695237058738e-02,2.013592115961054807e-03,2.764300431007808700e-02,-9.773794632822764283e-01
4.285714285714285587e+00,-9.447651607393928175e-03,-3.737745904727051566e-02,-9.138245968941511865e-01,9.730288213340063108e-02,-2.674256143902058874e-02,-5.206164098292368619e-02,7.154131872235187928e-03,2.720165843070502243e-01,3.644314868804664209e-02,-8.465525763917645108e-01,-3.131252784288566793e-01,1.558869674883086275e-02,7.154131872235188361e-04,2.720165843070502382e-02,-9.773556851311954174e-01
4.300751879699247660e+00,-7.984116420860829996e-03,-3.774903018620646977e-02,-9.146033495111433043e-01,9.731603987369033537e-02,-2.268890712776483118e-02,-5.151187799734117251e-02,-5.317410309458391049e-03,2.670269680832509374e-01,3.667420016216422357e-02,-8.119459618485542762e-01,-3.500210412876508803e-01,1.513853207231335291e-02,-5.317410309458391699e-04,2.670269680832509582e-02,-9.773325799837836447e-01
